id,global_order,chapter_id,event_id,map_name,map_period,speaker,source_label,english_visible_length,thai_visible_length,longest_english_line,longest_thai_line,page_count,placeholder_count,control_code_sequence,result,notes
dlg_a2a0edd5b970588e,115,slateport,mauville_wally,MauvilleCity,mauville,,MauvilleCity_Text_ScottYouDidntHoldBack,260,218,35,28,6,0,\n | \p | \n | \p | \n | \p | \n | \p | \p | \n,ok,
dlg_fb648835502d4cf7,116,slateport,mauville_wally,MauvilleCity,mauville,Wally,MauvilleCity_Text_WallyHereICome,37,36,19,20,2,1,{PLAYER} | \p,ok,
dlg_a08d097557c3e6c2,117,slateport,mauville_wally,MauvilleCity,mauville,Wally,MauvilleCity_Text_WallyIllGoBackToVerdanturf,40,38,27,22,1,0,\n,ok,
dlg_6ebacc9d8cd36793,118,slateport,mauville_wally,MauvilleCity,mauville,,MauvilleCity_Text_ThankYouNotEnoughToBattle,150,132,37,38,2,1,{PLAYER} | \n | \p | \n | \l,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_1dd9ce5252a610ca,119,slateport,mauville_wally,MauvilleCity,mauville,,MauvilleCity_Text_UncleNoNeedToBeDown,164,131,38,26,3,0,\n | \p | \n | \p | \n,ok,
dlg_d86f9ae4036a91a5,120,slateport,mauville_wally,MauvilleCity,mauville,Wally,MauvilleCity_Text_WallyPleaseBattleMe,39,40,23,22,1,1,{PLAYER} | \n,ok,
dlg_29cf2d6c137f7d7c,121,slateport,mauville_wally,MauvilleCity,mauville,Wattson,MauvilleCity_Gym_Text_WattsonPostBattle,64,62,41,31,1,0,\n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_fc810b4e66b7f5bb,122,slateport,mauville_wally,MauvilleCity,mauville,,MauvilleCity_Gym_Text_ReceivedDynamoBadge,39,29,26,18,1,1,{PLAYER} | \n,ok,
dlg_885f72022e6a7a31,123,slateport,mauville_wally,MauvilleCity,mauville,,MauvilleCity_Gym_Text_ExplainDynamoBadgeTakeThis,148,119,39,28,3,0,\n | \p | \n | \p | \n,ok,
dlg_ffb1954314bec3d3,124,slateport,mauville_wally,MauvilleCity,mauville,,MauvilleCity_Gym_Text_ExplainShockWave,109,77,36,27,3,0,\p | \n | \p,ok,
dlg_61953244313ffbe4,125,volcano,meteor_falls,MeteorFalls_1F_1R,meteor,,MeteorFalls_1F_1R_Text_WithThisMeteorite,58,55,34,31,2,0,\p | \n,ok,
dlg_69bbf0b329ac7158,126,volcano,meteor_falls,MeteorFalls_1F_1R,meteor,,MeteorFalls_1F_1R_Text_DontExpectMercyFromMagma,92,78,40,31,2,0,\p | \n | \l,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_b1ce8521162aba50,127,volcano,meteor_falls,MeteorFalls_1F_1R,meteor,,MeteorFalls_1F_1R_Text_HoldItRightThereMagma,103,76,38,27,2,0,\p | \n,ok,
dlg_c71a89510217f917,128,volcano,meteor_falls,MeteorFalls_1F_1R,meteor,,MeteorFalls_1F_1R_Text_BeSeeingYouTeamAqua,197,175,38,28,5,0,\n | \p | \n | \p | \p | \n | \p | \n,ok,
dlg_e217e7b7f13bbeff,129,volcano,meteor_falls,MeteorFalls_1F_1R,meteor,Archie,MeteorFalls_1F_1R_Text_ArchieSeenYouBefore,317,285,36,35,7,1,\n | \p | {PLAYER} | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_ea4952bca9a7ff22,130,volcano,meteor_falls,MeteorFalls_1F_1R,meteor,,MeteorFalls_1F_1R_Text_BossWeShouldChaseMagma,40,27,29,16,1,0,\n,ok,
dlg_de424b65d2ac84b8,131,volcano,meteor_falls,MeteorFalls_1F_1R,meteor,Archie,MeteorFalls_1F_1R_Text_ArchieYesNoTellingWhatMagmaWillDo,102,80,34,25,2,0,\n | \p | \n,ok,
dlg_620b24cda6ef26e8,132,volcano,meteor_falls,MeteorFalls_1F_1R,meteor,Archie,MeteorFalls_1F_1R_Text_ArchieFarewell,65,38,31,16,2,1,{PLAYER} | \n | \p,ok,
dlg_3a084ac6783a9ce7,133,volcano,mt_chimney,MtChimney,chimney,Archie,MtChimney_Text_ArchieGoStopTeamMagma,235,165,36,32,4,1,{PLAYER} | \n | \p | \n | \p | \n | \p | \n,ok,
dlg_3e2b11896ebb1637,134,volcano,mt_chimney,MtChimney,chimney,Archie,MtChimney_Text_ArchieIHaveMyHandsFull,113,92,38,25,3,0,\p | \n | \p | \n,ok,
dlg_ed68ce020b1d6ba1,135,volcano,mt_chimney,MtChimney,chimney,,MtChimney_Text_MeteoriteWillActivateVolcano,189,138,37,24,3,0,\p | \n | \l | \p | \n | \l,ok,
dlg_e5fe9110f8a82454,136,volcano,mt_chimney,MtChimney,chimney,Maxie,MtChimney_Text_MaxieIntro,647,568,35,35,12,0,\n | \p | \n | \p | \n | \l | \p | \p | \n | \p | \n | \l | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \l,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_6d5968a287374b4b,137,volcano,mt_chimney,MtChimney,chimney,Maxie,MtChimney_Text_MaxieYouHaventSeenLastOfMagma,172,151,37,34,4,0,\n | \p | \n | \p | \p | \n,ok,
dlg_31d1999313c6eb44,138,volcano,mt_chimney,MtChimney,chimney,Archie,MtChimney_Text_ArchieThankYou,212,178,35,33,6,2,{PLAYER} | \n | \p | \n | \p | \n | \p | \p | \n | \p | {PLAYER},ok,
dlg_42c985b1510208be,139,volcano,mt_chimney,MtChimney,chimney,,MtChimney_Text_PlayerRemovedMeteorite,50,38,27,21,1,1,{PLAYER} | \n,ok,
dlg_fe675caa94756773,140,volcano,jagged_magma,JaggedPass,jagged,,JaggedPass_Text_BoulderShakingInResponseToEmblem,59,52,39,31,1,0,\n,ok,
dlg_d1feb2740067b7ae,141,volcano,jagged_magma,JaggedPass,jagged,,JaggedPass_Text_GruntIntro,94,72,37,30,3,0,\n | \p | \p,ok,
dlg_ad170cc8edbfbd94,142,volcano,lavaridge,LavaridgeTown_Gym_1F,lavaridge,Flannery,LavaridgeTown_Gym_1F_Text_FlanneryPostBattle,96,91,35,35,2,0,\p | \n,ok,
dlg_85cc669a07cfd1db,143,volcano,lavaridge,LavaridgeTown_Gym_1F,lavaridge,,LavaridgeTown_Gym_1F_Text_ReceivedHeatBadge,38,24,24,15,1,1,{PLAYER} | \n,ok,
dlg_1082e920ad6c3157,144,volcano,lavaridge,LavaridgeTown_Gym_1F,lavaridge,,LavaridgeTown_Gym_1F_Text_ExplainHeatBadgeTakeThis,251,203,37,31,3,0,\n | \l | \l | \p | \n | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_dc7603a3e7b7cee7,145,volcano,lavaridge,LavaridgeTown_Gym_1F,lavaridge,,LavaridgeTown_Gym_1F_Text_ExplainOverheat,181,148,37,31,3,0,\p | \n | \p | \n | \l,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_6bc82f96214c6653,146,badges,weather,Route119_WeatherInstitute_1F,weather,,Route119_WeatherInstitute_2F_Text_TeamMagmaJustPassedBy,112,108,28,27,3,0,\p | \n | \p | \n,ok,
dlg_72d579cc12f30a2d,147,badges,weather,Route119_WeatherInstitute_1F,weather,,Route119_WeatherInstitute_2F_Text_WeHaveToHurryToMtPyre,110,106,34,32,3,0,\p | \n | \p | \n,ok,
dlg_15b8f87c5174f5d2,148,badges,weather,Route119_WeatherInstitute_1F,weather,,Route119_WeatherInstitute_2F_Text_ThanksPleaseTakePokemon,94,87,39,29,2,0,\n | \p | \n,ok,
dlg_fbfff4949ad6b61d,149,badges,weather,Route119_WeatherInstitute_1F,weather,,gText_NicknameThisPokemon,39,30,33,19,1,1,\n | {STR_VAR_1},ok,
dlg_3949d91512dde4d1,150,badges,weather,Route119_WeatherInstitute_1F,weather,,Route119_WeatherInstitute_2F_Text_PlayerReceivedCastform,19,15,19,15,1,1,{PLAYER},ok,
dlg_019f94a8aef9ea9b,151,badges,route119_rival,Route119,route119,May,Route119_Text_MayIntro,145,124,38,32,3,2,{PLAYER} | {KUN} | \n | \p | \n | \p | \n,ok,
dlg_8f9454ec6b2ac0f0,152,badges,route119_rival,Route119,route119,May,Route119_Text_MayPresentForYou,96,84,36,31,2,0,\n | \p,ok,
dlg_6be0ed70a0acd49c,153,badges,route119_rival,Route119,route119,May,Route119_Text_MayExplainFly,309,264,38,33,5,2,\n | \l | \p | \n | \l | \p | \n | \p | \n | {PLAYER} | {KUN} | \p,ok,
dlg_83a72594b4c34bcc,154,badges,route119_rival,Route119,route119,Brendan,Route119_Text_BrendanIntro,130,112,32,26,3,1,{PLAYER} | \n | \p | \n | \p | \n,ok,
dlg_558729c3a49c4cf8,155,badges,route119_rival,Route119,route119,Brendan,Route119_Text_BrendanIllGiveYouThis,102,80,35,27,2,0,\n | \p | \n,ok,
dlg_76bf541ad1e06184,156,badges,route119_rival,Route119,route119,Brendan,Route119_Text_BrendanExplainFly,165,130,35,31,3,0,\n | \l | \p | \n | \p,ok,
dlg_6f04353d49eb36ad,157,badges,route119_rival,Route119,route119,,Route119_Text_ScottWayToGoBeSeeingYou,330,269,40,30,6,2,\n | {PLAYER} | {KUN} | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_90522eab9aeeb6c1,158,badges,fortree,FortreeCity_Gym,fortree,Winona,FortreeCity_Gym_Text_WinonaPostBattle,59,51,35,28,1,0,\n,ok,
dlg_043520f7cee45426,159,badges,fortree,FortreeCity_Gym,fortree,,FortreeCity_Gym_Text_ReceivedFeatherBadge,39,26,27,19,1,1,{PLAYER} | \n,ok,
dlg_4ba2da8c6c4cb804,160,badges,fortree,FortreeCity_Gym,fortree,,FortreeCity_Gym_Text_ExplainFeatherBadgeTakeThis,206,172,38,37,3,0,\n | \l | \p | \n | \p | \n,ok,
dlg_edeb336fc52d099f,161,badges,fortree,FortreeCity_Gym,fortree,Steven,Route120_Text_StevenShowMeYourPower,46,55,27,29,1,2,{PLAYER} | {KUN} | \n,ok,
dlg_8a26b89ed2ec5faf,162,badges,fortree,FortreeCity_Gym,fortree,Steven,Route120_Text_StevenUsedDevonScope,104,89,38,27,3,0,\p | \n | \p,ok,
dlg_98e1f16605e4b205,163,badges,fortree,FortreeCity_Gym,fortree,,Kecleon_Text_SomethingUnseeable,34,33,34,33,1,0,,ok,
dlg_e89bf2fc11073911,164,badges,fortree,FortreeCity_Gym,fortree,,FortreeCity_Gym_Text_ExplainAerialAce,84,83,38,27,3,0,\p | \n | \p,ok,
dlg_972b63a027991002,165,badges,fortree,FortreeCity_Gym,fortree,Steven,Route120_Text_StevenGiveDevonScope,196,184,33,31,4,0,\n | \p | \n | \p | \n | \p | \n,ok,
dlg_2c9ae36316cdc574,166,badges,fortree,FortreeCity_Gym,fortree,Steven,Route120_Text_StevenGoodbye,124,101,35,35,4,2,{PLAYER} | {KUN} | \p | \n | \p | \p,ok,
dlg_d918d79168cfccf1,167,hideouts,mt_pyre,MtPyre_Summit,mt_pyre,Archie,MtPyre_Summit_Text_ArchieWeGotTheOrbLetsGo,236,228,40,45,4,0,\n | \p | \n | \p | \n | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_3e6adbb836d10aa0,168,hideouts,mt_pyre,MtPyre_Summit,mt_pyre,,MtPyre_Summit_Text_BothOrbsTakenMagmaLeftThis,440,400,38,35,9,0,\n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_735f1ef23f4ce480,169,hideouts,mt_pyre,MtPyre_Summit,mt_pyre,,MtPyre_Summit_Text_ThoseTwoMenReturnedOrbs,116,89,39,31,2,0,\n | \p | \n,ok,
dlg_99952122a38c4d6b,170,hideouts,mt_pyre,MtPyre_Summit,mt_pyre,,MtPyre_Summit_Text_SuperAncientPokemonTaughtUs,229,188,36,28,4,0,\n | \p | \n | \p | \n | \l | \p | \n,ok,
dlg_e5b724b2524196f4,171,hideouts,mt_pyre,MtPyre_Summit,mt_pyre,Maxie,MtPyre_Summit_Text_MaxieSilence,30,34,11,12,2,1,{PLAYER} | \p | \n,ok,
dlg_36ea63b7ce608519,172,hideouts,magma_hideout,MagmaHideout_1F,magma_hideout,Maxie,MagmaHideout_4F_Text_MaxieAwakenGroudon,221,207,38,36,5,0,\p | \n | \p | \n | \p | \n | \p | \n,ok,
dlg_f34fbe4729fcf204,173,hideouts,magma_hideout,MagmaHideout_1F,magma_hideout,Maxie,MagmaHideout_4F_Text_MaxieGroudonWhatsWrong,84,83,28,34,3,0,\n | \p | \p | \n,ok,
dlg_4943951ba089dba9,174,hideouts,magma_hideout,MagmaHideout_1F,magma_hideout,Maxie,MagmaHideout_4F_Text_MaxieOhItWasYou,125,106,37,27,3,0,\p | \n | \p | \n,ok,
dlg_0ced0caff1c00ef9,175,hideouts,magma_hideout,MagmaHideout_1F,magma_hideout,Maxie,MagmaHideout_4F_Text_MaxieImGoingAfterGroudon,273,209,37,31,6,0,\n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n,ok,
dlg_4eda68ad2ec20a56,176,hideouts,submarine,SlateportCity,submarine,,SlateportCity_Text_CaptSternBeingInterviewed,122,102,38,32,2,0,\n | \p | \n,ok,
dlg_7f0709929860c17b,177,hideouts,submarine,SlateportCity,submarine,,SlateportCity_Text_SternSaysDiscoveredSomething,104,83,35,30,2,0,\n | \p | \n,ok,
dlg_29e6bfe52cbe76dc,178,hideouts,submarine,SlateportCity,submarine,,SlateportCity_Text_SternMoveAheadWithExploration,70,52,38,34,1,0,\n,ok,
dlg_a24a9e2b5d3b180d,179,hideouts,submarine,SlateportCity,submarine,,SlateportCity_Text_SternWhewFirstInterview,85,79,39,30,2,0,\p | \n,ok,
dlg_f70b830d8ec236fd,180,hideouts,submarine,SlateportCity,submarine,,SlateportCity_Text_OhPlayerWeMadeDiscovery,201,165,38,35,4,2,{PLAYER} | {KUN} | \n | \p | \n | \p | \n | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_ac6bacd443ddc584,181,hideouts,submarine,SlateportCity,submarine,,SlateportCity_Text_AquaWillAssumeControlOfSubmarine,202,152,33,25,4,0,\n | \p | \n | \p | \n | \p | \n | \l,ok,
dlg_0b38356a9d2a5891,182,hideouts,submarine,SlateportCity,submarine,,SlateportCity_Text_SternWhatWasAllThat,101,86,37,34,3,0,\p | \n | \p,ok,
dlg_b97c111ae0282f20,183,hideouts,submarine,SlateportCity,submarine,,SlateportCity_Text_FromHarborTryingToTakeSub,61,48,26,20,2,0,\p | \n,ok,
dlg_5d595593ae009b8a,184,hideouts,submarine,SlateportCity,submarine,,SlateportCity_Text_PleaseComeWithMe,22,13,21,12,1,2,{PLAYER} | {KUN} | \n,ok,
dlg_40ef2cebfda60ee7,185,hideouts,submarine,SlateportCity,submarine,,SlateportCity_Harbor_Text_SameThugsTriedToRobAtMuseum,92,81,37,30,2,0,\p | \n,ok,
dlg_85246ab6bfa6b21d,186,hideouts,submarine,SlateportCity,submarine,,SlateportCity_Harbor_Text_CaptSternWhyStealMySubmarine,202,156,36,32,4,0,\p | \n | \p | \n | \p | \n,ok,
dlg_4df79a104565cdd7,187,hideouts,aqua_hideout,AquaHideout_1F,aqua_hideout,,AquaHideout_B2F_Text_OurBossGotThroughHisPreparations,73,71,37,33,2,0,\p | \n,ok,
dlg_45b733a3659fa52c,188,mossdeep,mossdeep,MossdeepCity_Gym,mossdeep,Tate,MossdeepCity_Gym_Text_TateAndLizaPostBattle,172,137,37,35,2,0,\n | \l | \p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_16583cf9036a06e6,189,mossdeep,mossdeep,MossdeepCity_Gym,mossdeep,,MossdeepCity_Gym_Text_ReceivedMindBadge,43,28,24,17,1,1,{PLAYER} | \n,ok,
dlg_43359ec54091c550,190,mossdeep,mossdeep,MossdeepCity_Gym,mossdeep,,MossdeepCity_Gym_Text_ExplainMindBadgeTakeThis,162,132,38,43,3,0,\n | \p | \n | \p,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_bf9f721d101df3f8,191,mossdeep,mossdeep,MossdeepCity_Gym,mossdeep,,MossdeepCity_Gym_Text_ExplainCalmMind,163,146,33,31,4,0,\n | \p | \n | \p | \n | \p,ok,
dlg_10a0c4da3c01bfa0,192,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,,MossdeepCity_SpaceCenter_1F_Text_MagmaCantStealFuelTakeThis,112,88,39,30,2,0,\n | \p | \n,ok,
dlg_79ce7f56167066ae,193,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,Steven,MossdeepCity_SpaceCenter_1F_Text_StevenMagmaCantBeAllowedToTakeFuel,277,198,37,30,5,2,{PLAYER} | {KUN} | \n | \p | \n | \p | \n | \p | \n | \p | \n,ok,
dlg_70357e86f6ea09df,194,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,,MossdeepCity_SpaceCenter_2F_Text_YoureOutnumberedTakeUsOn,87,71,33,31,2,0,\p | \n,ok,
dlg_0d1adf3d7c53be63,195,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,,MossdeepCity_SpaceCenter_2F_Text_GoodAnswer,45,34,33,25,1,0,\n,ok,
dlg_8199f6fe43038be0,196,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,,MossdeepCity_SpaceCenter_2F_Text_Grunt5Intro,50,38,30,20,1,0,\n,ok,
dlg_abc5b37215d62d43,197,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,,MossdeepCity_SpaceCenter_2F_Text_Grunt6Intro,41,32,29,18,1,0,\n,ok,
dlg_18051728da20cef1,198,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,,MossdeepCity_SpaceCenter_2F_Text_Grunt7Intro,68,44,37,23,1,0,\n,ok,
dlg_63197315c2211581,199,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,,MossdeepCity_SpaceCenter_2F_Text_WhyWouldMagmaStealRocketFuel,69,53,35,28,1,0,\n,ok,
dlg_ff6b7727bf98e870,200,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,,MossdeepCity_SpaceCenter_2F_Text_MagmaCantGetAwayWithThis,121,103,36,30,2,0,\n | \p | \n,ok,
dlg_33a9a5236748bb7b,201,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,,MossdeepCity_SpaceCenter_2F_Text_DoesMagmaWantToGoToSpace,44,34,33,25,1,0,\n,ok,
dlg_9bb71a44ed8e9cc8,202,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,Maxie,MossdeepCity_SpaceCenter_2F_Text_MaxieDontInterfere,53,38,28,21,1,0,\n,ok,
dlg_fad0e7d043c9af8c,203,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,Steven,MossdeepCity_SpaceCenter_2F_Text_StevenWhyStealRocketFuel,59,49,35,20,2,0,\p | \n,ok,
dlg_220e2ebc787a03bc,204,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,Maxie,MossdeepCity_SpaceCenter_2F_Text_MaxieUseFuelToEruptVolcano,262,227,37,31,5,0,\n | \p | \n | \p | \n | \p | \n | \p,ok,
dlg_104f959b73f4cfdb,205,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,Maxie,MossdeepCity_SpaceCenter_2F_Text_MaxieWeFailedIsAquaAlsoMisguided,269,248,37,32,6,0,\n | \p | \n | \p | \n | \p | \n | \p | \n | \l | \p | \n,ok,
dlg_1d1b84c3dd049a67,206,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,Maxie,MossdeepCity_SpaceCenter_2F_Text_MaxieWeWillGiveUp,106,89,33,28,2,0,\n | \p | \n,ok,
dlg_63d0a5b1cfa2160d,207,mossdeep,space_center,MossdeepCity_SpaceCenter_1F,space_center,Steven,MossdeepCity_SpaceCenter_2F_Text_StevenThankYouComeSeeMeAtHome,209,168,39,34,4,2,\n | {PLAYER} | {KUN} | \p | \n | \p | \n | \p | \n,ok,
dlg_56c225a224c38318,208,crisis,seafloor,SeafloorCavern_Room9,seafloor,Archie,SeafloorCavern_Room9_Text_ArchieHoldItRightThere,28,25,28,25,1,0,,ok,
dlg_e21be4ce24181c9d,209,crisis,seafloor,SeafloorCavern_Room9,seafloor,Archie,SeafloorCavern_Room9_Text_ArchieSoItWasYou,40,34,25,17,1,0,\n,ok,
dlg_672712da70f8720a,210,crisis,seafloor,SeafloorCavern_Room9,seafloor,Archie,SeafloorCavern_Room9_Text_ArchieBeholdKyogre,129,100,37,34,3,0,\p | \n | \p | \n,ok,
dlg_904db249c77a5fb4,211,crisis,seafloor,SeafloorCavern_Room9,seafloor,Archie,SeafloorCavern_Room9_Text_ArchieYouMustDisappear,139,123,35,34,3,0,\n | \p | \p | \n,ok,
dlg_5b8c8d67abbc38ae,212,crisis,seafloor,SeafloorCavern_Room9,seafloor,Archie,SeafloorCavern_Room9_Text_ArchieWithThisRedOrb,142,123,37,37,4,0,\p | \n | \p | \n | \p,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_30a432ed17b0bf86,213,crisis,seafloor,SeafloorCavern_Room9,seafloor,,SeafloorCavern_Room9_Text_RedOrbShinesByItself,44,42,34,32,1,0,\n,ok,
dlg_5e4dc15ea2604bc6,214,crisis,seafloor,SeafloorCavern_Room9,seafloor,Archie,SeafloorCavern_Room9_Text_ArchieWhereDidKyogreGo,75,78,21,21,3,0,\p | \n | \p,ok,
dlg_42f4426fdf01c018,215,crisis,seafloor,SeafloorCavern_Room9,seafloor,Archie,SeafloorCavern_Room9_Text_ArchieAMessageFromOutside,51,43,35,25,1,0,\n,ok,
dlg_50cdd92ec4d3dc51,216,crisis,seafloor,SeafloorCavern_Room9,seafloor,Archie,SeafloorCavern_Room9_Text_ArchieWhatRainingTooHard,310,282,32,35,7,0,\p | \n | \p | \n | \l | \l | \p | \p | \n | \p | \n | \p | \n,ok,
dlg_57e3edbafd739069,217,crisis,seafloor,SeafloorCavern_Room9,seafloor,Archie,SeafloorCavern_Room9_Text_ArchieWhyDidKyogreDisappear,123,102,33,24,4,0,\p | \n | \p | \n | \p,ok,
dlg_b1b9bedf4bbb9835,218,crisis,seafloor,SeafloorCavern_Room9,seafloor,Maxie,SeafloorCavern_Room9_Text_MaxieWhatHaveYouWrought,203,158,37,32,4,0,\p | \n | \p | \n | \p | \n,ok,
dlg_b9b9dc0d0d6b7eb0,219,crisis,seafloor,SeafloorCavern_Room9,seafloor,Archie,SeafloorCavern_Room9_Text_ArchieDontGetAllHighAndMighty,201,169,38,27,4,0,\n | \p | \n | \p | \n | \p,ok,
dlg_881182be07580274,220,crisis,seafloor,SeafloorCavern_Room9,seafloor,Maxie,SeafloorCavern_Room9_Text_MaxieWeDontHaveTimeToArgue,140,114,33,28,3,0,\n | \p | \p | \n,ok,
dlg_648adc974a14e68d,221,crisis,seafloor,SeafloorCavern_Room9,seafloor,Maxie,SeafloorCavern_Room9_Text_MaxieComeOnPlayer,50,47,26,26,1,1,{PLAYER} | \n,ok,
dlg_a9cd459000662ef7,222,crisis,crisis,SootopolisCity,crisis,,SootopolisCity_Text_SoThatsRayquaza,99,86,37,37,2,0,\p | \n,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_5fe249944b18d8de,223,crisis,crisis,SootopolisCity,crisis,,SootopolisCity_Text_KnowWhatsNeededToHelpHim,50,49,31,28,1,0,\n,ok,
dlg_3e9330ccd919163e,224,crisis,crisis,SootopolisCity,crisis,Archie,SootopolisCity_Text_MaxieArchieLeft,121,108,36,31,2,0,\n | \p | \n,ok,
dlg_b7e2f6325e376b0e,225,crisis,crisis,SootopolisCity,crisis,,SootopolisCity_Text_NeverBeenToSkyPillar,72,68,27,25,2,0,\p | \n,ok,
dlg_2eb7f1b6277a7dc5,226,crisis,crisis,SootopolisCity,crisis,,SootopolisCity_Text_InvolvedWithCrisisComeWithMe,347,265,36,32,7,2,\n | \p | \n | \p | \n | \p | {PLAYER} | {KUN} | \p | \n | \l | \p | \n | \p,ok,
dlg_585a3ab7c24ab2ed,227,crisis,crisis,SootopolisCity,crisis,,SootopolisCity_Text_DoesThisMakeYourFearPokemon,174,160,35,33,4,2,{PLAYER} | {KUN} | \p | \n | \p | \n | \p | \n,ok,
dlg_d0a9580f9bb5ec14,228,crisis,crisis,SootopolisCity,crisis,Wallace,SootopolisCity_Text_HereWereAreHelpWallace,113,90,37,21,3,0,\p | \n | \p | \n,ok,
dlg_62cd9667f8720313,229,crisis,sky_pillar,SkyPillar_Outside,sky_pillar,,SkyPillar_Outside_Text_OpenedDoorToSkyPillar,156,128,36,28,4,2,\p | \n | \p | \n | \p | {PLAYER} | {KUN},ok,
dlg_5ed157f43a6632fb,230,crisis,sky_pillar,SkyPillar_Outside,sky_pillar,,SkyPillar_Outside_Text_EarthquakeNotMomentToWaste,77,68,30,34,2,0,\p | \n,ok,
dlg_847ea0c983f7e391,231,crisis,sky_pillar,SkyPillar_Outside,sky_pillar,,SkyPillar_Outside_Text_SituationGettingWorse,44,39,31,27,1,0,\n,ok,
dlg_7ff2392c13cba811,232,crisis,sky_pillar,SkyPillar_Outside,sky_pillar,,SkyPillar_Outside_Text_GotToGoBackForSootopolis,205,173,35,26,6,2,\p | \n | \p | {PLAYER} | {KUN} | \p | \n | \p | \n | \p | \n,ok,
dlg_6b211e62d63b8b92,233,crisis,sky_pillar,SkyPillar_Outside,sky_pillar,,SkyPillar_Top_Text_RayquazaFlewOff,31,28,31,28,1,0,,ok,
dlg_c535707ea4269a80,234,crisis,rayquaza,SootopolisCity,resolution,,SootopolisCity_Text_AfterAllOurScheming,218,190,36,34,3,0,\n | \p | \n | \l | \l | \p | \n,ok,
dlg_6e265d07775a618e,235,crisis,rayquaza,SootopolisCity,resolution,,SootopolisCity_Text_TryingMeaninglessToPokemon,204,174,35,34,4,0,\n | \p | \n | \p | \n | \p | \n | \l,ok,
dlg_2d66888f162fdf06,236,league,final_gym,SootopolisCity_Gym_1F,final_gym,Juan,SootopolisCity_Gym_1F_Text_JuanPostBattle,229,165,36,30,4,0,\n | \l | \p | \p | \n | \p | \n,ok,
dlg_e4617a5d97c17e89,237,league,final_gym,SootopolisCity_Gym_1F,final_gym,,SootopolisCity_Gym_1F_Text_ReceivedRainBadge,34,25,24,17,1,1,{PLAYER} | \n,ok,
dlg_04c38272168a6c08,238,league,final_gym,SootopolisCity_Gym_1F,final_gym,,SootopolisCity_Gym_1F_Text_ExplainRainBadgeTakeThis,251,195,38,31,3,0,\n | \l | \p | \n | \l | \p | \n,ok,
dlg_b78ca7c65ffc780f,239,league,final_gym,SootopolisCity_Gym_1F,final_gym,,SootopolisCity_Gym_1F_Text_ExplainWaterPulse,135,111,36,37,3,0,\n | \p | \n | \p,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_dd46d9c50f26106a,240,league,final_gym,SootopolisCity_Gym_1F,final_gym,,SootopolisCity_Gym_1F_Text_GoGetFortreeBadge,144,114,36,27,2,0,\n | \p | \n | \l,ok,
dlg_ae26a5585d0e39c3,241,league,victory_road,VictoryRoad_1F,victory_road,Wally,VictoryRoad_1F_Text_WallyNotGoingToLoseAnymore,264,214,38,30,7,2,{PLAYER} | \p | \p | \n | \p | {PLAYER} | \n | \p | \p | \n | \p,ok,
