english_normalized,english_raw,thai,usage_count,source_ids,context_variants,status,notes
"hehehe!\pwhile i was toying with you, our boss\ngot through his preparations!$","Hehehe!\pWhile I was toying with you, our BOSS\ngot through his preparations!$",ฮี่ ๆ ๆ!\pระหว่างที่ฉันถ่วงเวลาแก บอสของเรา\nก็เตรียมการเสร็จเรียบร้อยแล้ว!$,1,dlg_4df79a104565cdd7,,draft,
"hehehe!\pwith this meteorite, that thing in\nmt. chimney will...$","Hehehe!\pWith this METEORITE, that thing in\nMT. CHIMNEY will…$",ฮี่ ๆ!\pเมื่อมีอุกกาบาตนี่ เจ้าสิ่งนั้น\nบนภูเขาเอ็นโทสึจะ…$,1,dlg_61953244313ffbe4,,draft,
"hehehe, hold it!\nwe'll take those parts!$","Hehehe, hold it!\nWe'll take those parts!$",ฮี่ ๆ เดี๋ยวก่อน!\nชิ้นส่วนนั่นพวกเราขอละ!$,1,dlg_bccdea658542d0e8,,draft,
hello! you over there!\nplease! help!\pin my bag!\nthere's a poké ball!$,Hello! You over there!\nPlease! Help!\pIn my BAG!\nThere's a POKé BALL!$,นี่! เธอที่อยู่ตรงนั้น!\nได้โปรด! ช่วยที!\pในกระเป๋าของฉัน!\nมีโปเกบอลอยู่!$,1,dlg_45ae69cb30f2cd90,,draft,
"hey!\nyou...\pwho are you?\poh, you're {player}, aren't you?\nmoved in next door, right?\pi didn't know that you're a girl.\pdad, prof. birch, said that our new\nnext-door neighbor is a gym leader's\lkid, so i assumed you'd be a guy.\pmy name's brendan.\nso, hi, neighbor!\phuh? hey, {player}, don't you have\na pokémon?\pdo you want me to go catch you one?\paw, darn, i forgot...\pi'm supposed to go help my dad catch\nsome wild pokémon.\psome other time, okay?$","Hey!\nYou…\pWho are you?\pOh, you're {PLAYER}, aren't you?\nMoved in next door, right?\pI didn't know that you're a girl.\pDad, PROF. BIRCH, said that our new\nnext-door neighbor is a GYM LEADER's\lkid, so I assumed you'd be a guy.\pMy name's BRENDAN.\nSo, hi, neighbor!\pHuh? Hey, {PLAYER}, don't you have\na POKéMON?\pDo you want me to go catch you one?\pAw, darn, I forgot…\pI'm supposed to go help my dad catch\nsome wild POKéMON.\pSome other time, okay?$",เฮ้!\nเธอน่ะ…\pเป็นใครกัน?\pอ๋อ เธอคือ {PLAYER} ใช่ไหม?\nคนที่เพิ่งย้ายมาอยู่ข้างบ้านสินะ\pไม่รู้มาก่อนเลยว่าเธอเป็นผู้หญิง\pพ่อของฉัน ศ.เบิร์ช บอกว่าเพื่อนบ้านใหม่\nเป็นลูกของยิมลีดเดอร์\lฉันเลยนึกว่าจะเป็นผู้ชายน่ะ\pฉันชื่อยูคิ\nยินดีที่ได้รู้จักนะ เพื่อนบ้าน!\pเอ๊ะ? {PLAYER} เธอยังไม่มี\nโปเกมอนเหรอ?\pอยากให้ฉันไปจับมาให้สักตัวไหม?\pอ๊ะ แย่ละ ลืมไปเลย…\pฉันต้องไปช่วยพ่อจับ\nโปเกมอนป่านี่นา\pไว้คราวหน้านะ ตกลงไหม?$,1,dlg_a1cf42cc4332f130,,draft,
"hey, it's {player}!\p...oh, yeah, dad gave you a pokémon.\psince we're here, how about a little\nbattle?\pi'll teach you what being a trainer's\nabout!$","Hey, it's {PLAYER}!\p…Oh, yeah, Dad gave you a POKéMON.\pSince we're here, how about a little\nbattle?\pI'll teach you what being a TRAINER's\nabout!$",เฮ้ {PLAYER} นี่นา!\p…อ๋อ จริงสิ พ่อให้โปเกมอนเธอมาแล้วนี่\pไหน ๆ ก็มาเจอกันแล้ว\nมาสู้กันสักหน่อยไหม?\pฉันจะสอนให้รู้เองว่า\nการเป็นเทรนเนอร์คืออะไร!$,1,dlg_a2a36d33d4e71a0c,,draft,
hi! sorry to keep you waiting!\pwelcome to the world of pokémon!\pmy name is birch.\pbut everyone calls me the pokémon\nprofessor.\p$,Hi! Sorry to keep you waiting!\pWelcome to the world of POKéMON!\pMy name is BIRCH.\pBut everyone calls me the POKéMON\nPROFESSOR.\p$,สวัสดี! ขอโทษที่ให้รอนะ!\pยินดีต้อนรับสู่โลกของโปเกมอน!\pผมชื่อเบิร์ช\pแต่ทุกคนเรียกผมว่า\nศาสตราจารย์โปเกมอน\p$,1,dlg_f05a5b388b38ad28,,draft,
"hm? you're {player}{kun}!\nyou saved my darling peeko!\lwe owe so much to you!\pwhat's that?\nyou want to sail with me?\phmhm...\pyou have a letter bound for dewford\nand a package for slateport, then?\pquite the busy life you must lead!\pbut, certainly, what you're asking is\nno problem at all.\pyou've come to the right man!\nwe'll set sail for dewford.$","Hm? You're {PLAYER}{KUN}!\nYou saved my darling PEEKO!\lWe owe so much to you!\pWhat's that?\nYou want to sail with me?\pHmhm…\pYou have a LETTER bound for DEWFORD\nand a package for SLATEPORT, then?\pQuite the busy life you must lead!\pBut, certainly, what you're asking is\nno problem at all.\pYou've come to the right man!\nWe'll set sail for DEWFORD.$",หืม? คุณคือ {PLAYER}{KUN} นี่!\nคุณช่วยพีโกะสุดที่รักของฉันไว้!\lพวกเราติดหนี้บุญคุณมากจริง ๆ!\pว่าไงนะ?\nอยากออกเรือไปกับฉันเหรอ?\pหึหึ…\pคุณมีจดหมายต้องส่งที่มุโระ\nกับพัสดุสำหรับไคไนสินะ?\pชีวิตยุ่งไม่เบาเลยนะ!\pแต่เรื่องที่ขอมานั้น\nไม่มีปัญหาเลย\pคุณมาถูกคนแล้ว!\nเราออกเรือไปมุโระกันเถอะ$,1,dlg_8b8f8c1d77b9c2c7,,draft,
"hmhm...\non a nationwide basis...\pyou've seen {str_var_1} pokémon,\nand you've caught {str_var_2} pokémon...$","Hmhm…\nOn a nationwide basis…\pYou've seen {STR_VAR_1} POKéMON,\nand you've caught {STR_VAR_2} POKéMON…$",หึ ๆ…\nถ้านับทั่วทั้งประเทศ…\pเธอพบโปเกมอนแล้ว {STR_VAR_1} ชนิด\nและจับได้ {STR_VAR_2} ชนิด…$,1,dlg_dc0ce7c8455a31db,,draft,
"hmhm...\pso, you've seen {str_var_1} pokémon,\nand you've caught {str_var_2} pokémon...$","Hmhm…\pSo, you've seen {STR_VAR_1} POKéMON,\nand you've caught {STR_VAR_2} POKéMON…$",หึ ๆ…\pเธอพบโปเกมอนแล้ว {STR_VAR_1} ชนิด\nและจับได้ {STR_VAR_2} ชนิด…$,1,dlg_7696ddbcad4cdaca,,draft,
"hold it right there, team magma!\pyou're badly mistaken if you think you\ncan have your way with the world!$","Hold it right there, TEAM MAGMA!\pYou're badly mistaken if you think you\ncan have your way with the world!$",หยุดเดี๋ยวนี้ ทีมแมกมา!\pถ้าคิดว่าจะทำอะไรกับโลกนี้\nตามใจชอบได้ ก็คิดผิดมหันต์!$,1,dlg_b1ce8521162aba50,,draft,
"huh?\nwho... who are you?\p... ... ... ... ... ... ... ...\n... ... ... ... ... ... ... ...\poh, you're {player}{kun}.\nso your move was today.\pum... i'm may.\nglad to meet you!\pi...\ni have this dream of becoming friends\lwith pokémon all over the world.\pi... i heard about you, {player}{kun}, from\nmy dad, prof. birch.\pi was hoping that you would be nice,\n{player}{kun}, and that we could be friends.\poh, this is silly, isn't it?\ni... i've just met you, {player}{kun}.\peheheh...\poh, no! i forgot!\pi was supposed to go help dad catch\nsome wild pokémon!\p{player}{kun}, i'll catch you later!$","Huh?\nWho… Who are you?\p… … … … … … … …\n… … … … … … … …\pOh, you're {PLAYER}{KUN}.\nSo your move was today.\pUm… I'm MAY.\nGlad to meet you!\pI…\nI have this dream of becoming friends\lwith POKéMON all over the world.\pI… I heard about you, {PLAYER}{KUN}, from\nmy dad, PROF. BIRCH.\pI was hoping that you would be nice,\n{PLAYER}{KUN}, and that we could be friends.\pOh, this is silly, isn't it?\nI… I've just met you, {PLAYER}{KUN}.\pEheheh…\pOh, no! I forgot!\pI was supposed to go help Dad catch\nsome wild POKéMON!\p{PLAYER}{KUN}, I'll catch you later!$",เอ๊ะ?\nคะ… คุณเป็นใครคะ?\p… … … … … … … …\n… … … … … … … …\pอ๋อ คุณคือ {PLAYER}{KUN}\nวันนี้เพิ่งย้ายมาสินะคะ\pเอ่อ… ฉันชื่อฮารุกะค่ะ\nยินดีที่ได้รู้จักนะ!\pฉัน…\nฉันฝันอยากเป็นเพื่อนกับโปเกมอน\lทั่วทั้งโลกเลยค่ะ\pฉัน… ได้ยินเรื่องของคุณ {PLAYER}{KUN}\nจากพ่อ ศ.เบิร์ชค่ะ\pฉันหวังว่าคุณจะใจดี\nและเราจะได้เป็นเพื่อนกันนะ {PLAYER}{KUN}\pพูดอะไรน่าอายจังเลยนะคะ\nทั้งที่ฉัน… เพิ่งพบคุณแท้ ๆ {PLAYER}{KUN}\pเอเฮะเฮะ…\pอ๊ะ ไม่นะ! ฉันลืมไปเลย!\pฉันต้องไปช่วยพ่อจับ\nโปเกมอนป่านี่นา!\p{PLAYER}{KUN} แล้วเจอกันนะคะ!$,1,dlg_7cc549bb2e89937d,,draft,
"humph, sniveling wimp!\nlet me take care of this!$","Humph, sniveling wimp!\nLet me take care of this!$",ฮึ เจ้าขี้แพ้ขี้แย!\nให้ฉันจัดการเอง!$,1,dlg_e8971e4703accf6a,,draft,
"i am the last of the pokémon league\nelite four, drake the dragon master!\pin their natural state, pokémon are\nwild living things. they are free.\pat times, they hinder us.\nat times, they help us.\pfor us to battle with pokémon as\npartners, do you know what it takes?\pdo you know what is needed?\pif you don't, then you will never\nprevail over me!$","I am the last of the POKéMON LEAGUE\nELITE FOUR, DRAKE the DRAGON master!\pIn their natural state, POKéMON are\nwild living things. They are free.\pAt times, they hinder us.\nAt times, they help us.\pFor us to battle with POKéMON as\npartners, do you know what it takes?\pDo you know what is needed?\pIf you don't, then you will never\nprevail over me!$",ข้าคือคนสุดท้ายแห่งสี่จตุรเทพ\nของโปเกมอนลีก เก็นจิผู้เชี่ยวชาญมังกร!\pโดยธรรมชาติ โปเกมอนเป็นสิ่งมีชีวิต\nป่าที่รักอิสระ\pบางครั้งพวกมันขัดขวางเรา\nบางครั้งก็ช่วยเหลือเรา\pเจ้ารู้หรือไม่ว่าต้องมีสิ่งใด\nจึงจะสู้เคียงข้างโปเกมอนได้?\pรู้หรือไม่ว่าสิ่งใดจำเป็น?\pหากไม่รู้ เจ้าก็ไม่มีวัน\nเอาชนะข้าได้!$,1,dlg_166dd7131ed8aba5,,draft,
i bet you want to take a break.\nbut i'm not about to let you do that!$,I bet you want to take a break.\nBut I'm not about to let you do that!$,คงอยากพักสักหน่อยสินะ\nแต่ฉันไม่ยอมให้พักหรอก!$,1,dlg_18051728da20cef1,,draft,
"i came to see what was taking so\nlong to snatch some parts, and you\lsimps are held up by a mere child?$","I came to see what was taking so\nlong to snatch some parts, and you\lsimps are held up by a mere child?$",ฉันมาดูว่าทำไมแค่ชิงชิ้นส่วน\nถึงใช้เวลานานนัก แล้วพวกแก\lกลับติดแหง็กเพราะเด็กคนเดียวเรอะ?$,1,dlg_f04999e65407c9f5,,draft,
i can see your talent becoming a giant\nwave to cause a storm of astonishment\lamong trainers one day!$,I can see your talent becoming a giant\nwave to cause a storm of astonishment\lamong TRAINERS one day!$,ฉันมองเห็นพรสวรรค์ของเธอเติบโต\nเป็นคลื่นยักษ์ที่สั่นสะเทือน\lเหล่าเทรนเนอร์ในสักวัน!$,1,dlg_dbb46905c78db3fa,,draft,
"i swell with optimism, seeing a promising\nyoung trainer like you!$","I swell with optimism, seeing a promising\nyoung TRAINER like you!$",พอเห็นเทรนเนอร์รุ่นใหม่อนาคตไกล\nอย่างเธอแล้ว ฉันก็ชื่นใจจริง ๆ!$,1,dlg_29cf2d6c137f7d7c,,draft,
i was hoping that it was a famous star\nso i could get an autograph.\pbut who's that being interviewed?\nisn't that capt. stern?$,I was hoping that it was a famous star\nso I could get an autograph.\pBut who's that being interviewed?\nIsn't that CAPT. STERN?$,ฉันหวังว่าจะเป็นดาราดัง\nจะได้ขอลายเซ็นเสียหน่อย\pแต่คนที่กำลังให้สัมภาษณ์นั่นใคร?\nกัปตันคุสโนกิไม่ใช่หรือ?$,1,dlg_4eda68ad2ec20a56,,draft,
"i'm mr. stone, the president of\nthe devon corporation.\pi'd just got word about you!\pyou saved our staff not just once,\nbut twice!\pi have a favor to ask of an amazing\nperson like you.\pi understand that you're delivering\na package to slateport's shipyard.\pwell, on the way, could you stop off in\ndewford town?\pi was hoping that you'd deliver a\nletter to steven in dewford.$","I'm MR. STONE, the PRESIDENT of\nthe DEVON CORPORATION.\pI'd just got word about you!\pYou saved our staff not just once,\nbut twice!\pI have a favor to ask of an amazing\nperson like you.\pI understand that you're delivering\na package to SLATEPORT's SHIPYARD.\pWell, on the way, could you stop off in\nDEWFORD TOWN?\pI was hoping that you'd deliver a\nLETTER to STEVEN in DEWFORD.$",ผมคือประธานสึวาบุกิ\nแห่งบริษัทเดวอน\pผมเพิ่งได้ยินเรื่องของคุณ!\pคุณช่วยพนักงานของเราไว้\nถึงสองครั้ง!\pผมมีเรื่องอยากขอร้อง\nคนเก่งอย่างคุณ\pได้ยินว่าคุณจะนำพัสดุไปส่ง\nที่อู่ต่อเรือในไคไน\pระหว่างทางช่วยแวะ\nเมืองมุโระได้ไหม?\pผมอยากให้คุณนำจดหมาย\nไปส่งให้ไดโกะที่มุโระ$,1,dlg_52b589c9fb152fe9,,draft,
"if team magma takes the rocket fuel,\ni won't be able to go to space!\pthey can't be allowed to get away\nwith such an outrage!$","If TEAM MAGMA takes the rocket fuel,\nI won't be able to go to space!\pThey can't be allowed to get away\nwith such an outrage!$",ถ้าทีมแมกมาเอาเชื้อเพลิงจรวดไป\nฉันก็ไปอวกาศไม่ได้สิ!\pปล่อยให้พวกมันก่อเรื่องเลวร้าย\nแบบนี้แล้วหนีไปไม่ได้!$,1,dlg_ff6b7727bf98e870,,draft,
"if you have a heat badge, all pokémon\nup to level 50, even those you get in\ltrades from other people, will obey\lyou completely.\pand, it lets pokémon use the hm move\nstrength outside of battle.\pthis is a token of my appreciation.\ndon't be shy about taking it!$","If you have a HEAT BADGE, all POKéMON\nup to Level 50, even those you get in\ltrades from other people, will obey\lyou completely.\pAnd, it lets POKéMON use the HM move\nSTRENGTH outside of battle.\pThis is a token of my appreciation.\nDon't be shy about taking it!$",ถ้ามีฮีตแบดจ์ โปเกมอนทุกตัว\nจนถึงเลเวล 50 แม้แต่โปเกมอนที่\lได้จากการแลกเปลี่ยนก็จะเชื่อฟัง\lเธออย่างสมบูรณ์\pและยังทำให้โปเกมอนใช้ท่า HM\nไคริกินอกการต่อสู้ได้\pนี่คือของแทนคำขอบคุณจากฉัน\nรับไปได้เลย ไม่ต้องเกรงใจ!$,1,dlg_1082e920ad6c3157,,draft,
it sounds like they've recovered\nthe ripped-off devon goods.$,It sounds like they've recovered\nthe ripped-off DEVON GOODS.$,ดูเหมือนจะได้สินค้าเดวอน\nที่ถูกขโมยกลับมาแล้วนะ$,1,dlg_a33aefbe6eb63e63,,draft,
it's from the harbor!\pthe submarine!\nthey're trying to take it!$,It's from the HARBOR!\pThe submarine!\nThey're trying to take it!$,เสียงมาจากท่าเรือ!\pเรือดำน้ำ!\nพวกมันกำลังจะขโมยไป!$,1,dlg_b97c111ae0282f20,,draft,
it's too soon to be relieved!\ni'm up next!$,It's too soon to be relieved!\nI'm up next!$,อย่าเพิ่งโล่งใจไป!\nคนต่อไปคือฉัน!$,1,dlg_abc5b37215d62d43,,draft,
maxie: all right...\nwe will give up on the fuel...\pthere appear to be more important\nmatters that i must examine...$,MAXIE: All right…\nWe will give up on the fuel…\pThere appear to be more important\nmatters that I must examine…$,มัตสึบูสะ: เอาเถอะ…\nเราจะเลิกยุ่งกับเชื้อเพลิง…\pดูเหมือนฉันมีเรื่องสำคัญกว่า\nที่ต้องตรวจสอบ…$,1,dlg_1d1b84c3dd049a67,,draft,
"maxie: but, enough.\ni will back off this time.\pbut don't think that this is the last\nyou've seen of team magma.\pfufufu...\peven without the meteorite, if we\nobtain that orb... fufufu...$","MAXIE: But, enough.\nI will back off this time.\pBut don't think that this is the last\nyou've seen of TEAM MAGMA.\pFufufu…\pEven without the METEORITE, if we\nobtain that ORB… Fufufu…$",มัตสึบูสะ: พอแค่นี้ก่อน\nคราวนี้ฉันจะถอยไป\pแต่อย่าคิดว่านี่จะเป็นครั้งสุดท้าย\nที่แกได้เจอกับทีมแมกมา\pหึ ๆ ๆ…\pถึงไม่มีอุกกาบาต ถ้าเราได้\nลูกแก้วนั่นมา… หึ ๆ ๆ…$,1,dlg_6d5968a287374b4b,,draft,
maxie: clear out of the way!\ndon't you dare interfere!$,MAXIE: Clear out of the way!\nDon't you dare interfere!$,มัตสึบูสะ: หลีกทางไป!\nอย่าบังอาจมาขวาง!$,1,dlg_9bb71a44ed8e9cc8,,draft,
"maxie: fufufu... since you're so\ncurious, you deserve an explanation.\pwe're going to jettison the entire\nload into mt. chimney!\pwith groudon gone, we have no need\nfor that slag heap of a mountain!\pso we'll use the fuel's power to make\nthe volcano erupt!\pit will be savage!$","MAXIE: Fufufu… Since you're so\ncurious, you deserve an explanation.\pWe're going to jettison the entire\nload into MT. CHIMNEY!\pWith GROUDON gone, we have no need\nfor that slag heap of a mountain!\pSo we'll use the fuel's power to make\nthe volcano erupt!\pIt will be savage!$",มัตสึบูสะ: หึ ๆ ๆ… ในเมื่อแก\nอยากรู้นัก ฉันจะอธิบายให้ฟัง\pเราจะทิ้งเชื้อเพลิงทั้งหมด\nลงไปในภูเขาเอ็นโทสึ!\pเมื่อกราดอนไม่อยู่ ภูเขาที่เป็น\nกองขยะนั่นก็ไม่มีประโยชน์!\pเราจึงจะใช้พลังของเชื้อเพลิง\nทำให้ภูเขาไฟปะทุ!\pมันจะต้องรุนแรงยิ่งนัก!$,1,dlg_220e2ebc787a03bc,,draft,
maxie: groudon!\nwhat's wrong?\pwasn't the blue orb the key?\pgroudon!\nwhere have you gone...$,MAXIE: GROUDON!\nWhat's wrong?\pWasn't the BLUE ORB the key?\pGROUDON!\nWhere have you gone…$,มัตสึบูสะ: กราดอน!\nเป็นอะไรไป?\pลูกแก้วสีน้ำเงินไม่ใช่กุญแจหรอกรึ?\pกราดอน!\nหายไปไหนแล้ว…$,1,dlg_f34fbe4729fcf204,,draft,
maxie: groudon...\pnothing could awaken you from your\nsleep bathed in magma...\pthis blue orb is what you sought.\nwasn't it?\pi have brought you the blue orb.\nlet its shine awaken you!\pand show me...\nshow me the full extent of your power!$,MAXIE: GROUDON…\pNothing could awaken you from your\nsleep bathed in magma…\pThis BLUE ORB is what you sought.\nWasn't it?\pI have brought you the BLUE ORB.\nLet its shine awaken you!\pAnd show me…\nShow me the full extent of your power!$,มัตสึบูสะ: กราดอน…\pไม่มีสิ่งใดปลุกแกจากนิทรา\nท่ามกลางแมกมาได้…\pลูกแก้วสีน้ำเงินนี้คือสิ่งที่แกตามหา\nไม่ใช่หรือ?\pฉันนำลูกแก้วสีน้ำเงินมาให้แล้ว\nจงตื่นขึ้นด้วยประกายของมัน!\pแล้วแสดงให้ฉันดู…\nแสดงพลังทั้งหมดของแกออกมา!$,1,dlg_36ea63b7ce608519,,draft,
"maxie: hm?\nwho are you?\p... ... ... ... ... ...\n... ... ... ... ... ...\pi'd heard archie bemoaning a child\nwho's been meddling in team aqua's\laffairs.\pit must be you he meant.\phumph! so you're thinking of\ninterfering with us, team magma?\pnow you listen.\nlong ago, living things used the\lland to live and grow.\pthat is why land is all important!\nit is the cradle of all!\pthat is why team magma is dedicated\nto the expansion of the land mass.\pit is for further advancement of\nhumankind and pokémon!\pand for that, we need the power of\nwhat sleeps within this mountain...\poh! there was no need for you to\nlearn that much.\pbut, no matter!\ni'll teach you the consequences of\lmeddling in our grand design!$","MAXIE: Hm?\nWho are you?\p… … … … … …\n… … … … … …\pI'd heard ARCHIE bemoaning a child\nwho's been meddling in TEAM AQUA's\laffairs.\pIt must be you he meant.\pHumph! So you're thinking of\ninterfering with us, TEAM MAGMA?\pNow you listen.\nLong ago, living things used the\lland to live and grow.\pThat is why land is all important!\nIt is the cradle of all!\pThat is why TEAM MAGMA is dedicated\nto the expansion of the land mass.\pIt is for further advancement of\nhumankind and POKéMON!\pAnd for that, we need the power of\nwhat sleeps within this mountain…\pOh! There was no need for you to\nlearn that much.\pBut, no matter!\nI'll teach you the consequences of\lmeddling in our grand design!$",มัตสึบูสะ: หืม?\nแกเป็นใคร?\p… … … … … …\n… … … … … …\pได้ยินอาโอกิริบ่นถึงเด็กคนหนึ่ง\nที่คอยยุ่งเรื่องของทีมอควา\lอยู่บ่อย ๆ\pคงหมายถึงแกสินะ\pฮึ! คิดจะมาขัดขวาง\nพวกเราทีมแมกมางั้นรึ?\pฟังให้ดี\nนานมาแล้ว เหล่าสิ่งมีชีวิตอาศัย\lผืนดินเพื่อดำรงชีวิตและเติบโต\pเพราะอย่างนั้นผืนดินจึงสำคัญที่สุด!\nมันคือแหล่งกำเนิดของทุกชีวิต!\pนั่นคือเหตุผลที่ทีมแมกมาทุ่มเท\nเพื่อขยายผืนแผ่นดิน\pทั้งหมดก็เพื่อความก้าวหน้า\nของมนุษย์และโปเกมอน!\pและเพื่อการนั้น เราต้องใช้พลัง\nของสิ่งที่หลับใหลอยู่ในภูเขานี้…\pโอ้! แกไม่จำเป็นต้อง\nรู้มากถึงเพียงนั้นนี่นา\pแต่ช่างเถอะ!\nฉันจะสอนให้รู้ถึงผลของการ\lขัดขวางแผนการอันยิ่งใหญ่ของเรา!$,1,dlg_e5fe9110f8a82454,,draft,
"maxie: oh, so it was you?\pi've seen you poking around uninvited\nhere and there...\pi get it now!\nyou must have pulled a cheap stunt!$","MAXIE: Oh, so it was you?\pI've seen you poking around uninvited\nhere and there…\pI get it now!\nYou must have pulled a cheap stunt!$",มัตสึบูสะ: อ้อ ฝีมือแกสินะ?\pฉันเห็นแกเที่ยวสอดมือยุ่ง\nไปทั่วโดยไม่ได้รับเชิญ…\pเข้าใจแล้ว!\nแกต้องเล่นตุกติกแน่!$,1,dlg_4943951ba089dba9,,draft,
"maxie: so the super-ancient pokémon\nweren't only groudon and kyogre...\pafter all our fruitless scheming and\nfrantic efforts, that one pokémon's\lsimple action puts everything right\lagain as if nothing had happened...\pfu...\nfuhahaha...$","MAXIE: So the super-ancient POKéMON\nweren't only GROUDON and KYOGRE…\pAfter all our fruitless scheming and\nfrantic efforts, that one POKéMON's\lsimple action puts everything right\lagain as if nothing had happened…\pFu…\nFuhahaha…$",มัตสึบูสะ: โปเกมอนยุคดึกดำบรรพ์\nไม่ได้มีเพียงกราดอนกับไคโอกา…\pหลังแผนการไร้ผลและความพยายาม\nอย่างบ้าคลั่งทั้งหมดของเรา โปเกมอน\lเพียงตัวเดียวกลับแก้ไขทุกอย่าง\lราวกับไม่เคยเกิดอะไรขึ้น…\pหึ…\nฮ่า ๆ ๆ ๆ…$,1,dlg_c535707ea4269a80,,draft,
"maxie: there has to be some reason\nwhy groudon fled...\pthat's what you're trying to say,\naren't you?\p... ... ... ... ... ...\n... ... ... ... ... ...\phumph...\nyou think i didn't know that?\pwith groudon gone, there is no longer\nany need for this blasted volcano.\pi am going after groudon, so this\nis where we part!$","MAXIE: There has to be some reason\nwhy GROUDON fled…\pThat's what you're trying to say,\naren't you?\p… … … … … …\n… … … … … …\pHumph…\nYou think I didn't know that?\pWith GROUDON gone, there is no longer\nany need for this blasted volcano.\pI am going after GROUDON, so this\nis where we part!$",มัตสึบูสะ: ต้องมีเหตุผลบางอย่าง\nที่กราดอนหนีไป…\pนั่นคือสิ่งที่แกพยายามจะบอก\nใช่ไหม?\p… … … … … …\n… … … … … …\pฮึ…\nคิดว่าฉันไม่รู้หรือ?\pเมื่อกราดอนไปแล้ว ภูเขาไฟ\nบ้า ๆ นี่ก็ไม่มีประโยชน์อีก\pฉันจะตามกราดอนไป\nเราแยกกันตรงนี้!$,1,dlg_0ced0caff1c00ef9,,draft,
maxie: we don't have the time to\nargue about it here!\pget outside and see for yourself!\psee if what you've wrought is the\nworld that we desired!$,MAXIE: We don't have the time to\nargue about it here!\pGet outside and see for yourself!\pSee if what you've wrought is the\nworld that we desired!$,มัตสึบูสะ: เราไม่มีเวลา\nมาเถียงกันที่นี่!\pออกไปดูด้วยตาตัวเอง!\pดูเสียว่าโลกที่แกสร้างขึ้น\nคือโลกที่เราปรารถนาจริงหรือ!$,1,dlg_881182be07580274,,draft,
"maxie: we failed to make the volcano\nerupt...\pwe failed to control groudon after\nwe had awoken it...\pis our goal to expand the land\nmisguided?\p... ... ... ... ... ...\n... ... ... ... ... ...\pif...\nif we, team magma, are wrong...\l... ... ... ... ... ...\pthen might team aqua's goal to expand\nthe sea also be equally misguided?$","MAXIE: We failed to make the volcano\nerupt…\pWe failed to control GROUDON after\nwe had awoken it…\pIs our goal to expand the land\nmisguided?\p… … … … … …\n… … … … … …\pIf…\nIf we, TEAM MAGMA, are wrong…\l… … … … … …\pThen might TEAM AQUA's goal to expand\nthe sea also be equally misguided?$",มัตสึบูสะ: เราทำให้ภูเขาไฟ\nปะทุไม่สำเร็จ…\pเราควบคุมกราดอนที่\nปลุกขึ้นมาไม่ได้…\pหรือเป้าหมายในการขยายผืนดิน\nของเราจะผิดจริง ๆ?\p… … … … … …\n… … … … … …\pถ้า…\nถ้าพวกเราทีมแมกมาเป็นฝ่ายผิด…\l… … … … … …\pถ้าอย่างนั้น เป้าหมายขยายผืนทะเล\nของทีมอควาก็อาจผิดเช่นกันหรือ?$,1,dlg_104f959b73f4cfdb,,draft,
"maxie: what have you wrought?\parchie... you've finally awoken kyogre,\nhaven't you?\pwhat will happen to the world if this\ndownpour continues for all eternity?\pthe world's landmass will drown in\nthe deepening sea...$","MAXIE: What have you wrought?\pARCHIE… You've finally awoken KYOGRE,\nhaven't you?\pWhat will happen to the world if this\ndownpour continues for all eternity?\pThe world's landmass will drown in\nthe deepening sea…$",มัตสึบูสะ: แกทำอะไรลงไป?\pอาโอกิริ… ในที่สุดแกก็ปลุกไคโอกา\nขึ้นมาแล้วสินะ?\pถ้าฝนเทลงมาเช่นนี้ชั่วนิรันดร์\nโลกจะเป็นอย่างไร?\pผืนแผ่นดินทั้งโลกจะจมลง\nในทะเลที่สูงขึ้น…$,1,dlg_b1b9bedf4bbb9835,,draft,
"maxie: {player}, come on, you have\nto get out of here, too!$","MAXIE: {PLAYER}, come on, you have\nto get out of here, too!$",มัตสึบูสะ: {PLAYER} เร็วเข้า แกเอง\nก็ต้องออกไปจากที่นี่!$,1,dlg_648adc974a14e68d,,draft,
maxie: {player}...\p... ... ... ... ... ...\n... ... ... ... ... ...$,MAXIE: {PLAYER}…\p… … … … … …\n… … … … … …$,มัตสึบูสะ: {PLAYER}…\p… … … … … …\n… … … … … …$,1,dlg_e5b724b2524196f4,,draft,
"may: but i had absolutely nothing to\nworry about! keep it up!\pand, here! i have a present for you.$","MAY: But I had absolutely nothing to\nworry about! Keep it up!\pAnd, here! I have a present for you.$",ฮารุกะ: แต่ดูแล้วฉันไม่ต้อง\nเป็นห่วงอะไรเลย! พยายามต่อไปนะ!\pแล้วก็นี่! ฉันมีของขวัญให้$,1,dlg_8f9454ec6b2ac0f0,,draft,
"may: groan...\p... ... ... ... ... ... ... ...\n... ... ... ... ... ... ... ...\pi'm just joking! that's okay!\nthat's the rule!\p{player}{kun}!\nhonestly, congratulations!$","MAY: Groan…\p… … … … … … … …\n… … … … … … … …\pI'm just joking! That's okay!\nThat's the rule!\p{PLAYER}{KUN}!\nHonestly, congratulations!$",ฮารุกะ: โธ่…\p… … … … … … … …\n… … … … … … … …\pล้อเล่นน่ะ! ไม่เป็นไร!\nกฎก็ต้องเป็นกฎ!\p{PLAYER}{KUN}!\nขอแสดงความยินดีจากใจจริง!$,1,dlg_ba212f09bd9a9718,,draft,
