symbol,source_line,source_text_en,target_text_th,old_definition,encoded_definition,definition_status,final_revision_status
gText_NotPkmnOtherTrainerWants,493,"That isn't the type of POKéMON
that the other TRAINER wants.","โปเกมอนนี้ไม่ตรงกับ
ที่เทรนเนอร์อีกฝ่ายต้องการ","const u8 gText_NotPkmnOtherTrainerWants[] = _(""That isn't the type of POKéMON\nthat the other TRAINER wants."");","const u8 gText_NotPkmnOtherTrainerWants[] = _(""{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{178}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{26}{0}{0}{244}{7}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}\n{252}{25}{154}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{28}{0}{0}{244}{7}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{18}{2}{0}{244}{5}{1}{252}{25}{142}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{73}{1}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{93}{1}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{40}{0}{0}{244}{5}{1}"");",matched_and_replaced,approved_from_review_v1
gText_NothingToCut,438,There's nothing to CUT.,ไม่มีอะไรให้ใช้ CUT,"const u8 gText_NothingToCut[] = _(""There's nothing to CUT."");","const u8 gText_NothingToCut[] = _(""{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{134}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{109}{1}{0}{244}{7}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{90}{1}{0}{244}{6}{1} CUT"");",matched_and_replaced,approved_from_review_v1
gText_OnlyPkmnForBattle,481,"That's your only
POKéMON for battle.","นี่คือโปเกมอนตัวเดียว
ที่ใช้ต่อสู้ได้","const u8 gText_OnlyPkmnForBattle[] = _(""That's your only\nPOKéMON for battle."");","const u8 gText_OnlyPkmnForBattle[] = _(""{252}{25}{155}{0}{0}{244}{8}{1}{252}{25}{4}{1}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{33}{2}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{123}{0}{0}{244}{7}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}\n{252}{25}{154}{0}{0}{244}{7}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{90}{1}{0}{244}{6}{1}{252}{25}{66}{1}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{142}{2}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}"");",matched_and_replaced,approved_from_review_v1
gText_OtherTrainerCantAcceptPkmn,489,"The other TRAINER can't accept
that POKéMON now.","ตอนนี้เทรนเนอร์อีกฝ่าย
รับโปเกมอนนี้ไม่ได้","const u8 gText_OtherTrainerCantAcceptPkmn[] = _(""The other TRAINER can't accept\nthat POKéMON now."");","const u8 gText_OtherTrainerCantAcceptPkmn[] = _(""{252}{25}{26}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{178}{0}{0}{244}{8}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{28}{0}{0}{244}{7}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{18}{2}{0}{244}{5}{1}{252}{25}{142}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{73}{1}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}\n{252}{25}{46}{2}{0}{244}{5}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{178}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}"");",matched_and_replaced,approved_from_review_v1
gText_OtherTrainersPkmnCantBeTraded,487,"The other TRAINER's POKéMON
can't be traded now.","ตอนนี้โปเกมอนของอีกฝ่าย
แลกเปลี่ยนไม่ได้","const u8 gText_OtherTrainersPkmnCantBeTraded[] = _(""The other TRAINER's POKéMON\ncan't be traded now."");","const u8 gText_OtherTrainersPkmnCantBeTraded[] = _(""{252}{25}{26}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{178}{0}{0}{244}{8}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{9}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{142}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{73}{1}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}\n{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{165}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnCantBeTradedNow,483,"That POKéMON can't be traded
now.","ตอนนี้โปเกมอนนี้
แลกเปลี่ยนไม่ได้","const u8 gText_PkmnCantBeTradedNow[] = _(""That POKéMON can't be traded\nnow."");","const u8 gText_PkmnCantBeTradedNow[] = _(""{252}{25}{26}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{178}{0}{0}{244}{8}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{178}{0}{0}{244}{8}{1}\n{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{165}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}"");",matched_and_replaced,approved_from_review_v1
gText_PkmnElevatedToLvVar2,422,"{STR_VAR_1} was elevated to
Lv. {STR_VAR_2}.","เลเวลของ {STR_VAR_1} เพิ่มเป็น
Lv. {STR_VAR_2}!","const u8 gText_PkmnElevatedToLvVar2[] = _(""{STR_VAR_1} was elevated to\nLv. {STR_VAR_2}."");","const u8 gText_PkmnElevatedToLvVar2[] = _(""{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{9}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1} {STR_VAR_1} {252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{101}{0}{0}{244}{8}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{2}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}\nLv. {STR_VAR_2}!"");",matched_and_replaced,approved_from_review_v1
gText_PkmnLearnedMove3,404,"{STR_VAR_1} learned
{STR_VAR_2}!","{STR_VAR_1} เรียนรู้
{STR_VAR_2}!","const u8 gText_PkmnLearnedMove3[] = _(""{STR_VAR_1} learned\n{STR_VAR_2}!"");","const u8 gText_PkmnLearnedMove3[] = _(""{STR_VAR_1} {252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{136}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{144}{2}{0}{244}{5}{1}\n{STR_VAR_2}!"");",matched_and_replaced,approved_from_review_v1
gText_PokemonAreNeeded,448,{STR_VAR_1} POKéMON are needed.,ต้องมีโปเกมอน {STR_VAR_1} ตัว,"const u8 gText_PokemonAreNeeded[] = _(""{STR_VAR_1} POKéMON are needed."");","const u8 gText_PokemonAreNeeded[] = _(""{252}{25}{93}{1}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{134}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1} {STR_VAR_1} {252}{25}{33}{2}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}"");",matched_and_replaced,approved_from_review_v1
gText_PokemonCantBeSame,449,POKéMON can't be the same.,เลือกโปเกมอนซ้ำกันไม่ได้,"const u8 gText_PokemonCantBeSame[] = _(""POKéMON can't be the same."");","const u8 gText_PokemonCantBeSame[] = _(""{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{22}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{139}{1}{0}{244}{11}{1}{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}"");",matched_and_replaced,approved_from_review_v1
gText_RestoreWhichMove,442,Restore which move?,ฟื้น PP ให้ท่าไหน?,"const u8 gText_RestoreWhichMove[] = _(""Restore which move?"");","const u8 gText_RestoreWhichMove[] = _(""{252}{25}{116}{2}{0}{244}{8}{1}{252}{25}{30}{0}{0}{244}{8}{1} PP {252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{109}{1}{0}{244}{7}{1}{252}{25}{68}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_ReturnToHealingSpot,477,"Want to return to the healing spot
used last in {STR_VAR_1}?","จะกลับไปยังจุดฟื้นพลัง
ล่าสุดใน {STR_VAR_1}?","const u8 gText_ReturnToHealingSpot[] = _(""Want to return to the healing spot\nused last in {STR_VAR_1}?"");","const u8 gText_ReturnToHealingSpot[] = _(""{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{47}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{45}{2}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{144}{1}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{116}{2}{0}{244}{8}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{35}{0}{0}{244}{8}{1}{252}{25}{47}{2}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}\n{252}{25}{79}{1}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{164}{1}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1} {STR_VAR_1}?"");",matched_and_replaced,revised_after_source_context_review
gText_ReturnToWaitingRoom,474,Return to the WAITING ROOM?,กลับไปห้องรอ?,"const u8 gText_ReturnToWaitingRoom[] = _(""Return to the WAITING ROOM?"");","const u8 gText_ReturnToWaitingRoom[] = _(""{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{47}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{109}{1}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{48}{0}{0}{244}{6}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_SendMailToPC,390,"Send the removed MAIL to
your PC?","ส่งจดหมายที่เอาออก
ไปยัง PC?","const u8 gText_SendMailToPC[] = _(""Send the removed MAIL to\nyour PC?"");","const u8 gText_SendMailToPC[] = _(""{252}{25}{81}{1}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{154}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}\n{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{45}{2}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1} PC?"");",matched_and_replaced,approved_from_review_v1
gText_StopLearningMove2,407,"Stop trying to teach
{STR_VAR_2}?","หยุดสอนท่า
{STR_VAR_2}?","const u8 gText_StopLearningMove2[] = _(""Stop trying to teach\n{STR_VAR_2}?"");","const u8 gText_StopLearningMove2[] = _(""{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{160}{1}{0}{244}{6}{1}{252}{25}{25}{0}{0}{244}{7}{1}{252}{25}{45}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{68}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}\n{STR_VAR_2}?"");",matched_and_replaced,approved_from_review_v1
gText_TeachWhichPokemon,434,Teach which POKéMON?,จะสอนท่าให้โปเกมอนตัวไหน?,"const u8 gText_TeachWhichPokemon[] = _(""Teach which POKéMON?"");","const u8 gText_TeachWhichPokemon[] = _(""{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{45}{0}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{68}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{109}{1}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{33}{2}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}?"");",matched_and_replaced,revised_after_source_context_review
gText_ThatIsntAnEgg,495,That isn't an EGG.,ตัวนั้นไม่ใช่ไข่,"const u8 gText_ThatIsntAnEgg[] = _(""That isn't an EGG."");","const u8 gText_ThatIsntAnEgg[] = _(""{252}{25}{33}{2}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{88}{2}{0}{244}{8}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{62}{1}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{56}{1}{0}{244}{6}{1}"");",matched_and_replaced,approved_from_review_v1
gText_ThrowAwayItem,429,"Throw away this
{STR_VAR_1}?","จะทิ้ง
{STR_VAR_1}?","const u8 gText_ThrowAwayItem[] = _(""Throw away this\n{STR_VAR_1}?"");","const u8 gText_ThrowAwayItem[] = _(""{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{157}{2}{0}{244}{8}{1}{252}{25}{12}{0}{0}{244}{4}{1}\n{STR_VAR_1}?"");",matched_and_replaced,approved_from_review_v1
gText_UseOnWhichPokemon,435,Use on which POKéMON?,จะใช้กับโปเกมอนตัวไหน?,"const u8 gText_UseOnWhichPokemon[] = _(""Use on which POKéMON?"");","const u8 gText_UseOnWhichPokemon[] = _(""{252}{25}{13}{0}{0}{244}{6}{1}{252}{25}{7}{0}{0}{244}{5}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{90}{1}{0}{244}{6}{1}{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}{252}{25}{0}{0}{0}{244}{5}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{33}{2}{0}{244}{7}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}?"");",matched_and_replaced,approved_from_review_v1
