description_symbol,source_text,target_text_th,status,usage_count,line_count,max_width_font_normal_px,max_width_font_narrow_px,hard_limit_px,width_result,glyph_result,control_code_result,number_result,abbreviation_result,risk_score,risk_reasons,source_file,source_line
sRawstBerryDesc,"A hold item that
heals a burn in
battle.","ไอเทมถือที่รักษา
อาการไหม้ในการต่อสู้",translated_pending_qa,1,2,93,93,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,515
sAspearBerryDesc,"A hold item that
defrosts POKéMON
in battle.","ไอเทมถือที่ละลาย
น้ำแข็งในการต่อสู้",translated_pending_qa,1,2,76,76,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,520
sLeppaBerryDesc,"A hold item that
restores 10 PP in
battle.","ไอเทมถือที่ฟื้นฟู
PP 10 หน่วย
ในการต่อสู้",translated_pending_qa,1,3,73,73,120,pass,pass,pass,pass,pass,6,mixed_thai_latin_or_number;numeric;abbreviation;three_lines,src/data/text/item_descriptions.h,525
sOranBerryDesc,"A hold item that
restores 10 HP in
battle.","ไอเทมถือที่ฟื้นฟู
HP 10 หน่วย
ในการต่อสู้",translated_pending_qa,1,3,73,73,120,pass,pass,pass,pass,pass,6,mixed_thai_latin_or_number;numeric;abbreviation;three_lines,src/data/text/item_descriptions.h,530
sPersimBerryDesc,"A hold item that
heals confusion
in battle.","ไอเทมถือที่รักษา
อาการสับสน
ในการต่อสู้",translated_pending_qa,1,3,72,72,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,535
sLumBerryDesc,"A hold item that
heals any status
problem in battle.","ไอเทมถือที่รักษา
สถานะผิดปกติทุกชนิด
ในการต่อสู้",translated_pending_qa,1,3,96,96,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,540
sSitrusBerryDesc,"A hold item that
restores 30 HP in
battle.","ไอเทมถือที่ฟื้นฟู
HP 30 หน่วย
ในการต่อสู้",translated_pending_qa,1,3,73,73,120,pass,pass,pass,pass,pass,6,mixed_thai_latin_or_number;numeric;abbreviation;three_lines,src/data/text/item_descriptions.h,545
sFigyBerryDesc,"A hold item that
restores HP but
may confuse.","ไอเทมถือที่ฟื้นฟู HP
แต่อาจทำให้สับสน",translated_pending_qa,1,2,88,86,120,pass,pass,pass,pass,pass,4,mixed_thai_latin_or_number;abbreviation,src/data/text/item_descriptions.h,550
sWikiBerryDesc,"A hold item that
restores HP but
may confuse.","ไอเทมถือที่ฟื้นฟู HP
แต่อาจทำให้สับสน",translated_pending_qa,1,2,88,86,120,pass,pass,pass,pass,pass,4,mixed_thai_latin_or_number;abbreviation,src/data/text/item_descriptions.h,555
sMagoBerryDesc,"A hold item that
restores HP but
may confuse.","ไอเทมถือที่ฟื้นฟู HP
แต่อาจทำให้สับสน",translated_pending_qa,1,2,88,86,120,pass,pass,pass,pass,pass,4,mixed_thai_latin_or_number;abbreviation,src/data/text/item_descriptions.h,560
sAguavBerryDesc,"A hold item that
restores HP but
may confuse.","ไอเทมถือที่ฟื้นฟู HP
แต่อาจทำให้สับสน",translated_pending_qa,1,2,88,86,120,pass,pass,pass,pass,pass,4,mixed_thai_latin_or_number;abbreviation,src/data/text/item_descriptions.h,565
sIapapaBerryDesc,"A hold item that
restores HP but
may confuse.","ไอเทมถือที่ฟื้นฟู HP
แต่อาจทำให้สับสน",translated_pending_qa,1,2,88,86,120,pass,pass,pass,pass,pass,4,mixed_thai_latin_or_number;abbreviation,src/data/text/item_descriptions.h,570
sRazzBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow RAZZ.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ RAZZ",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,575
sBlukBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow BLUK.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ BLUK",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,580
sNanabBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow NANAB.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ NANAB",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,585
sWepearBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow WEPEAR.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ WEPEAR",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,590
sPinapBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow PINAP.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ PINAP",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,595
sPomegBerryDesc,"Makes a POKéMON
friendly but lowers
base HP.","ทำให้โปเกมอนสนิทขึ้น
แต่ลดค่าพื้นฐาน HP",translated_pending_qa,1,2,104,104,120,pass,pass,pass,pass,pass,7,mixed_thai_latin_or_number;abbreviation;proper_name_or_location,src/data/text/item_descriptions.h,600
sKelpsyBerryDesc,"Makes a POKéMON
friendly but lowers
base ATTACK.","ทำให้โปเกมอนสนิทขึ้น
แต่ลดค่าพื้นฐาน
พลังโจมตี",translated_pending_qa,1,3,104,104,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,605
sQualotBerryDesc,"Makes a POKéMON
friendly but lowers
base DEFENSE.","ทำให้โปเกมอนสนิทขึ้น
แต่ลดค่าพื้นฐาน
พลังป้องกัน",translated_pending_qa,1,3,104,104,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,610
sHondewBerryDesc,"Makes a POKéMON
friendly but lowers
base SP. ATK.","ทำให้โปเกมอนสนิทขึ้น
แต่ลดค่าพื้นฐาน
พลังโจมตีพิเศษ",translated_pending_qa,1,3,104,104,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,615
sGrepaBerryDesc,"Makes a POKéMON
friendly but lowers
base SP. DEF.","ทำให้โปเกมอนสนิทขึ้น
แต่ลดค่าพื้นฐาน
พลังป้องกันพิเศษ",translated_pending_qa,1,3,104,104,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,620
sTamatoBerryDesc,"Makes a POKéMON
friendly but lowers
base SPEED.","ทำให้โปเกมอนสนิทขึ้น
แต่ลดค่าพื้นฐาน
ความเร็ว",translated_pending_qa,1,3,104,104,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,625
sCornnBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow CORNN.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ CORNN",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,630
sMagostBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow MAGOST.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ MAGOST",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,635
sRabutaBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow RABUTA.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ RABUTA",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,640
sNomelBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow NOMEL.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ NOMEL",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,645
sSpelonBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow SPELON.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ SPELON",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,650
sPamtreBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow PAMTRE.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ PAMTRE",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,655
sWatmelBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow WATMEL.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ WATMEL",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,660
sDurinBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow DURIN.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ DURIN",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,665
sBelueBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow BELUE.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ BELUE",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,10,mixed_thai_latin_or_number;control_code;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,670
sLiechiBerryDesc,"A hold item that
raises ATTACK in
a pinch.","ไอเทมถือที่เพิ่ม
พลังโจมตีเมื่อ
ตกอยู่ในอันตราย",translated_pending_qa,1,3,75,75,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,675
sGanlonBerryDesc,"A hold item that
raises DEFENSE in
a pinch.","ไอเทมถือที่เพิ่ม
พลังป้องกันเมื่อ
ตกอยู่ในอันตราย",translated_pending_qa,1,3,75,75,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,680
sSalacBerryDesc,"A hold item that
raises SPEED in
a pinch.","ไอเทมถือที่เพิ่ม
ความเร็วเมื่อ
ตกอยู่ในอันตราย",translated_pending_qa,1,3,75,75,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,685
sPetayaBerryDesc,"A hold item that
raises SP. ATK in
a pinch.","ไอเทมถือที่เพิ่ม
พลังโจมตีพิเศษเมื่อ
ตกอยู่ในอันตราย",translated_pending_qa,1,3,87,87,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,690
sApicotBerryDesc,"A hold item that
raises SP. DEF in
a pinch.","ไอเทมถือที่เพิ่ม
พลังป้องกันพิเศษเมื่อ
ตกอยู่ในอันตราย",translated_pending_qa,1,3,93,93,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,695
sLansatBerryDesc,"A hold item that
ups the critical-
hit rate in a pinch.","ไอเทมถือที่เพิ่ม
โอกาสโจมตีคริติคอล
เมื่ออยู่ในอันตราย",translated_pending_qa,1,3,91,91,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,700
sStarfBerryDesc,"A hold item that
sharply boosts a
stat in a pinch.","ไอเทมถือที่เพิ่ม
ค่าสถานะหนึ่งอย่างมาก
เมื่ออยู่ในอันตราย",translated_pending_qa,1,3,96,96,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,705
sEnigmaBerryDesc,"{POKEBLOCK} ingredient.
Plant in loamy soil
to grow a mystery.","วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
ให้เกิดผลลึกลับ",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,7,mixed_thai_latin_or_number;control_code;three_lines,src/data/text/item_descriptions.h,710
sBrightPowderDesc,"A hold item that
casts a glare to
reduce accuracy.","ไอเทมถือที่ส่องแสง
ลดความแม่นยำ
ของคู่ต่อสู้",translated_pending_qa,1,3,82,82,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,716
sWhiteHerbDesc,"A hold item that
restores any
lowered stat.","ไอเทมถือที่ฟื้นคืน
ค่าสถานะที่ถูกลด",translated_pending_qa,1,2,80,80,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,721
sMachoBraceDesc,"A hold item that
promotes growth,
but reduces SPEED.","ไอเทมถือที่ช่วย
ส่งเสริมการเติบโต
แต่ลดความเร็ว",translated_pending_qa,1,3,78,78,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,726
sExpShareDesc,"A hold item that
gets EXP. points
from battles.","ไอเทมถือที่ได้รับ
คะแนน EXP
จากการต่อสู้",translated_pending_qa,1,3,74,74,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;abbreviation;three_lines,src/data/text/item_descriptions.h,731
sQuickClawDesc,"A hold item that
occasionally allows
the first strike.","ไอเทมถือที่บางครั้ง
ทำให้ได้โจมตีก่อน",translated_pending_qa,1,2,82,82,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,736
sSootheBellDesc,"A hold item that
calms spirits and
fosters friendship.","ไอเทมถือที่ช่วย
ให้จิตใจสงบและ
เพิ่มความสนิท",translated_pending_qa,1,3,73,73,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,741
sMentalHerbDesc,"A hold item that
snaps POKéMON out
of infatuation.","ไอเทมถือที่แก้
อาการหลงเสน่ห์
ของโปเกมอน",translated_pending_qa,1,3,67,67,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,746
sChoiceBandDesc,"Raises a move's
power, but permits
only that move.","เพิ่มพลังของท่า
แต่ใช้ได้เพียง
ท่านั้นเท่านั้น",translated_pending_qa,1,3,64,64,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,751
sKingsRockDesc,"A hold item that
may cause flinching
when the foe is hit.","ไอเทมถือที่อาจ
ทำให้คู่ต่อสู้ชะงัก
เมื่อถูกโจมตี",translated_pending_qa,1,3,72,72,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,756
sSilverPowderDesc,"A hold item that
raises the power of
BUG-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท BUG",translated_pending_qa,1,2,85,82,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,761
sAmuletCoinDesc,"Doubles money in
battle if the
holder takes part.","เพิ่มเงินรางวัลสองเท่า
หากผู้ถือร่วมต่อสู้",translated_pending_qa,1,2,92,92,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,766
sCleanseTagDesc,"A hold item that
helps repel wild
POKéMON.","ไอเทมถือที่ช่วย
ไล่โปเกมอนป่า",translated_pending_qa,1,2,67,67,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,771
sSoulDewDesc,"Hold item: raises
SP. ATK & SP. DEF of
LATIOS & LATIAS.","เพิ่มพลังโจมตีพิเศษ
และพลังป้องกันพิเศษ
ของลาทิออสกับลาเทียส",translated_pending_qa,1,3,97,97,120,pass,pass,pass,pass,pass,6,species_name_reference;three_lines,src/data/text/item_descriptions.h,776
sDeepSeaToothDesc,"A hold item that
raises the SP. ATK
of CLAMPERL.","ไอเทมถือที่เพิ่ม
พลังโจมตีพิเศษ
ของพาร์ลูล",translated_pending_qa,1,3,70,70,120,pass,pass,pass,pass,pass,6,species_name_reference;three_lines,src/data/text/item_descriptions.h,781
sDeepSeaScaleDesc,"A hold item that
raises the SP. DEF
of CLAMPERL.","ไอเทมถือที่เพิ่ม
พลังป้องกันพิเศษ
ของพาร์ลูล",translated_pending_qa,1,3,76,76,120,pass,pass,pass,pass,pass,6,species_name_reference;three_lines,src/data/text/item_descriptions.h,786
sSmokeBallDesc,"A hold item that
assures fleeing
from wild POKéMON.","ไอเทมถือที่ช่วยให้
หนีจากโปเกมอนป่า
ได้แน่นอน",translated_pending_qa,1,3,85,85,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,791
sEverstoneDesc,"A wondrous hold
item that prevents
evolution.","ไอเทมถือมหัศจรรย์
ที่ป้องกันวิวัฒนาการ",translated_pending_qa,1,2,86,86,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,796
sFocusBandDesc,"A hold item that
occasionally
prevents fainting.","ไอเทมถือที่บางครั้ง
ป้องกันการหมดสภาพ",translated_pending_qa,1,2,92,92,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,801
sLuckyEggDesc,"A hold item that
boosts EXP. points
earned in battle.","ไอเทมถือที่เพิ่ม
คะแนน EXP ที่ได้รับ
จากการต่อสู้",translated_pending_qa,1,3,91,88,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;abbreviation;three_lines,src/data/text/item_descriptions.h,806
sScopeLensDesc,"A hold item that
improves the
critical-hit rate.","ไอเทมถือที่เพิ่ม
โอกาสโจมตีคริติคอล",translated_pending_qa,1,2,91,91,120,pass,pass,pass,pass,pass,0,,src/data/text/item_descriptions.h,811
sMetalCoatDesc,"A hold item that
raises the power of
STEEL-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท STEEL",translated_pending_qa,1,2,97,92,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,816
sLeftoversDesc,"A hold item that
gradually restores
HP in battle.","ไอเทมถือที่ค่อยๆ
ฟื้นฟู HP ระหว่าง
การต่อสู้",translated_pending_qa,1,3,74,74,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;abbreviation;three_lines,src/data/text/item_descriptions.h,821
sDragonScaleDesc,"A strange scale
held by DRAGON-
type POKéMON.","เกล็ดประหลาดที่
โปเกมอนประเภท DRAGON
บางตัวถือไว้",translated_pending_qa,1,3,117,111,120,pass,pass,pass,pass,pass,15,near_120px;mixed_thai_latin_or_number;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,826
sLightBallDesc,"A hold item that
raises the SP. ATK
of PIKACHU.","ไอเทมถือที่เพิ่ม
พลังโจมตีพิเศษ
ของพิคาชู",translated_pending_qa,1,3,70,70,120,pass,pass,pass,pass,pass,6,species_name_reference;three_lines,src/data/text/item_descriptions.h,831
sSoftSandDesc,"A hold item that
raises the power of
GROUND-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท GROUND",translated_pending_qa,1,2,103,97,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,836
sHardStoneDesc,"A hold item that
raises the power of
ROCK-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท ROCK",translated_pending_qa,1,2,91,87,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,841
sMiracleSeedDesc,"A hold item that
raises the power of
GRASS-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท GRASS",translated_pending_qa,1,2,97,92,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,846
sBlackGlassesDesc,"A hold item that
raises the power of
DARK-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท DARK",translated_pending_qa,1,2,91,87,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,851
sBlackBeltDesc,"A hold item that
boosts FIGHTING-
type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท FIGHTING",translated_pending_qa,1,2,115,105,120,pass,pass,pass,pass,pass,11,near_120px;mixed_thai_latin_or_number,src/data/text/item_descriptions.h,856
sMagnetDesc,"A hold item that
boosts ELECTRIC-
type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท ELECTRIC",translated_pending_qa,1,2,115,106,120,pass,pass,pass,pass,pass,11,near_120px;mixed_thai_latin_or_number,src/data/text/item_descriptions.h,861
sMysticWaterDesc,"A hold item that
raises the power of
WATER-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท WATER",translated_pending_qa,1,2,97,92,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,866
sSharpBeakDesc,"A hold item that
raises the power of
FLYING-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท FLYING",translated_pending_qa,1,2,103,95,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,871
sPoisonBarbDesc,"A hold item that
raises the power of
POISON-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท POISON",translated_pending_qa,1,2,103,96,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,876
sNeverMeltIceDesc,"A hold item that
raises the power of
ICE-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท ICE",translated_pending_qa,1,2,85,81,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,881
sSpellTagDesc,"A hold item that
raises the power of
GHOST-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท GHOST",translated_pending_qa,1,2,97,92,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,886
sTwistedSpoonDesc,"A hold item that
boosts PSYCHIC-
type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท PSYCHIC",translated_pending_qa,1,2,109,100,120,pass,pass,pass,pass,pass,6,wide_line;mixed_thai_latin_or_number,src/data/text/item_descriptions.h,891
sCharcoalDesc,"A hold item that
raises the power of
FIRE-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท FIRE",translated_pending_qa,1,2,91,86,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,896
sDragonFangDesc,"A hold item that
raises the power of
DRAGON-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท DRAGON",translated_pending_qa,1,2,103,97,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,901
sSilkScarfDesc,"A hold item that
raises the power of
NORMAL-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท NORMAL",translated_pending_qa,1,2,103,97,120,pass,pass,pass,pass,pass,2,mixed_thai_latin_or_number,src/data/text/item_descriptions.h,906
sUpGradeDesc,"A peculiar box made
by SILPH CO.","กล่องประหลาดที่สร้าง
โดยซิลฟ์",translated_pending_qa,1,2,89,89,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;proper_name_or_location,src/data/text/item_descriptions.h,911
sShellBellDesc,"A hold item that
restores HP upon
striking the foe.","ไอเทมถือที่ฟื้นฟู HP
เมื่อโจมตีคู่ต่อสู้",translated_pending_qa,1,2,88,86,120,pass,pass,pass,pass,pass,4,mixed_thai_latin_or_number;abbreviation,src/data/text/item_descriptions.h,915
sSeaIncenseDesc,"A hold item that
slightly boosts
WATER-type moves.","ไอเทมถือที่เพิ่ม
พลังท่าประเภท WATER
เล็กน้อย",translated_pending_qa,1,3,97,92,120,pass,pass,pass,pass,pass,3,mixed_thai_latin_or_number;three_lines,src/data/text/item_descriptions.h,920
sLaxIncenseDesc,"A hold item that
slightly lowers the
foe's accuracy.","ไอเทมถือที่ลด
ความแม่นยำของ
คู่ต่อสู้เล็กน้อย",translated_pending_qa,1,3,71,71,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,925
sLuckyPunchDesc,"A hold item that
raises CHANSEY's
critical-hit rate.","ไอเทมถือที่เพิ่ม
โอกาสโจมตีคริติคอล
ของลัคกี",translated_pending_qa,1,3,91,91,120,pass,pass,pass,pass,pass,6,species_name_reference;three_lines,src/data/text/item_descriptions.h,930
sMetalPowderDesc,"A hold item that
raises DITTO's
DEFENSE.","ไอเทมถือที่เพิ่ม
พลังป้องกันของเมตามอน",translated_pending_qa,1,2,108,108,120,pass,pass,pass,pass,pass,9,wide_line;species_name_reference,src/data/text/item_descriptions.h,935
sThickClubDesc,"A hold item that
raises CUBONE or
MAROWAK's ATTACK.","ไอเทมถือที่เพิ่ม
พลังโจมตีของคาราคารา
หรือการาการา",translated_pending_qa,1,3,99,99,120,pass,pass,pass,pass,pass,9,species_name_reference;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,940
sStickDesc,"A hold item that
raises FARFETCH'D's
critical-hit ratio.","ไอเทมถือที่เพิ่ม
โอกาสโจมตีคริติคอล
ของคาโมเนงิ",translated_pending_qa,1,3,91,91,120,pass,pass,pass,pass,pass,6,species_name_reference;three_lines,src/data/text/item_descriptions.h,945
sRedScarfDesc,"A hold item that
raises COOL in
CONTESTS.","ไอเทมถือที่เพิ่ม
ความเท่ในการประกวด",translated_pending_qa,1,2,100,100,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;proper_name_or_location,src/data/text/item_descriptions.h,950
sBlueScarfDesc,"A hold item that
raises BEAUTY in
CONTESTS.","ไอเทมถือที่เพิ่ม
ความงามในการประกวด",translated_pending_qa,1,2,104,104,120,pass,pass,pass,pass,pass,13,near_120px;mixed_thai_latin_or_number;proper_name_or_location,src/data/text/item_descriptions.h,955
sPinkScarfDesc,"A hold item that
raises CUTE in
CONTESTS.","ไอเทมถือที่เพิ่ม
ความน่ารักในการประกวด",translated_pending_qa,1,2,112,112,120,pass,pass,pass,pass,pass,5,mixed_thai_latin_or_number;proper_name_or_location,src/data/text/item_descriptions.h,960
sGreenScarfDesc,"A hold item that
raises SMART in
CONTESTS.","ไอเทมถือที่เพิ่ม
ความฉลาดในการประกวด",translated_pending_qa,1,2,114,114,120,pass,pass,pass,pass,pass,9,wide_line;mixed_thai_latin_or_number;proper_name_or_location,src/data/text/item_descriptions.h,965
sYellowScarfDesc,"A hold item that
raises TOUGH in
CONTESTS.","ไอเทมถือที่เพิ่ม
ความแกร่งในการประกวด",translated_pending_qa,1,2,111,111,120,pass,pass,pass,pass,pass,9,wide_line;mixed_thai_latin_or_number;proper_name_or_location,src/data/text/item_descriptions.h,970
sMachBikeDesc,"A folding bicycle
that doubles your
speed or better.","จักรยานพับได้
ที่เพิ่มความเร็ว
อย่างน้อยสองเท่า",translated_pending_qa,1,3,71,71,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,976
sCoinCaseDesc,"A case that holds
up to 9,999 COINS.","กล่องที่เก็บเหรียญได้
สูงสุด 9,999 เหรียญ",translated_pending_qa,1,2,90,90,120,pass,pass,pass,pass,pass,6,mixed_thai_latin_or_number;numeric;proper_name_or_location,src/data/text/item_descriptions.h,981
